index,SYMPTOMS,JACKFRUIT,SAMBONG,LEMON,JASMINE,MANGO,MINT,AMPALAYA,MALUNGGAY,GUAVA,LAGUNDI
59,Which natural remedy should I use for urinary tract infection,0,1,0,0,0,0,0,0,0,0
60,I need a herbal for viral infection,1,0,0,0,0,0,0,0,0,0
61,Which natural remedy should I use for cancer treatment,0,0,0,1,0,0,0,0,0,0
62,Herbal for digestion,0,0,0,0,0,1,0,0,1,0
63,Is there a herbal for calcium,0,0,0,0,0,0,0,1,0,0
64,I need a herbal for loose stools,0,1,0,0,0,0,0,0,0,0
65,Is there a herbal for constipation,1,0,0,0,0,0,0,0,0,0
66,Which natural remedy should I use for muscle pain,0,1,0,0,0,0,0,0,0,1
67,My need concerns with support fetal growth,0,0,0,0,1,0,0,0,0,0
68,Herbal for prevent weight gain,0,0,1,0,0,0,0,0,0,0
69,Herbal for natural decongestant,0,0,0,0,0,1,0,0,0,0
70,My need concerns with tonsilitis,0,1,0,0,0,0,0,0,1,1
71,I need a herbal for migraine,0,0,0,0,0,1,0,0,0,0
72,My need concerns with tea,0,1,1,1,0,0,0,1,1,0
73,Which natural remedy should I use for UTI,0,1,0,0,0,0,0,0,0,0
74,What herbal should I use with hypertension,0,1,0,0,0,0,0,0,0,0
75,Which natural remedy should I use for anti-diarrhea,0,1,0,0,0,0,0,0,0,0
76,Herbal for lower cholesterol,0,0,1,0,0,0,0,0,0,0
77,What herbal should I use with tea,0,1,1,1,0,0,0,1,1,0
78,What herbal should I use with kidney problem,0,1,0,0,0,0,0,0,0,0
79,Is there a remedy for UTI,0,1,0,0,0,0,0,0,0,0
80,Herbal for flavonoids,1,0,0,0,0,0,0,1,1,1
81,I need a herbal for wound,0,1,0,0,0,0,0,0,1,0
82,Is there a herbal for anti-diabetic,1,0,0,0,1,0,1,0,0,0
83,My need concerns with sedative,0,0,1,1,0,0,0,0,0,0
84,What herbal should I use with minerals,0,0,0,0,1,0,0,0,0,0
85,My need concerns with migraine,0,0,0,0,0,1,0,0,0,0
86,Is there a remedy for joint problems,0,1,0,0,0,0,0,0,0,0
87,I need a herbal for lower respiratory tract infection,0,1,0,0,0,0,0,0,1,1
88,Which natural remedy should I use for healthy digestion,0,0,0,0,0,1,0,0,0,0
89,What herbal should I use with vitamin E,0,0,0,0,0,0,0,1,0,0
90,Which natural remedy should I use for rich in potassium,1,0,0,0,0,0,0,0,0,0
91,My need concerns with ligament problems,0,1,0,0,0,0,0,0,0,0
92,Which natural remedy should I use for staph infection,0,0,0,0,1,0,0,0,0,0
93,Which natural remedy should I use for weight management,0,0,0,0,0,0,1,0,0,0
94,My need concerns with calcium,0,0,0,0,0,0,0,1,0,0
95,I have immune system,1,0,0,1,1,0,1,0,1,0
96,Herbal for platelet aggregation,0,1,0,0,0,0,0,0,0,0
97,Is there a herbal for cuts,0,1,0,0,0,0,0,0,0,0
98,I need a herbal for tumor,0,1,0,0,0,0,0,0,0,0
99,I have nutrient deficiencies,0,0,0,0,0,0,0,1,0,0
100,I have iron,0,0,1,0,0,0,0,1,0,0
101,I need a herbal for pharyngitis,0,1,0,0,0,0,0,0,1,1
102,My need concerns with liver pain,0,0,0,1,0,0,0,0,0,0
103,What herbal should I use with rich in fiber,0,0,1,0,0,0,1,0,0,0
104,I have cooling sensation,0,0,0,0,0,1,0,0,0,0
105,Which natural remedy should I use for citric acid,0,0,1,0,0,0,0,0,0,0
106,I need a herbal for support fetal growth,0,0,0,0,1,0,0,0,0,0
107,Is there a herbal for heart disease,0,0,1,1,0,0,0,0,0,0
108,What herbal should I use with cold,0,0,0,0,0,1,0,0,0,1
109,I have skin damage,0,0,0,0,0,0,0,0,1,0
110,Is there a herbal for Parkinsonâ€™s disease,0,0,0,1,0,0,0,0,0,0
111,Is there a herbal for kidney stones,0,1,1,0,0,0,0,0,0,0
112,I have high uric acid,0,1,0,0,0,0,0,0,0,0
113,I need a herbal for mental clarity,0,0,0,1,0,0,0,0,0,0
114,Is there a remedy for liver pain,0,0,0,1,0,0,0,0,0,0
115,I need a herbal for acute rhinosinusitis,0,1,0,0,0,0,0,0,0,0
116,Herbal for liver,0,1,0,1,0,0,1,0,0,0
117,Which natural remedy should I use for high fiber,0,0,1,0,0,0,1,0,0,0
118,Is there a remedy for rich in micronutrients,1,0,0,0,0,0,0,0,0,0
119,Herbal for bloating,0,0,0,0,0,1,0,0,0,0
120,Is there a herbal for wound,0,1,0,0,0,0,0,0,1,0
121,Which natural remedy should I use for colds,0,1,0,0,0,0,0,0,0,0
122,My need concerns with rhinorrhea,0,0,0,0,0,1,0,0,0,0
123,Is there a remedy for diabetes,1,0,0,0,1,0,1,1,1,0
124,What herbal should I use with immune system,1,0,0,1,1,0,1,0,1,0
125,Is there a remedy for malnutrition,0,0,0,0,0,0,0,1,0,0
126,Herbal for high cholesterol,0,0,0,0,0,0,1,0,0,0
127,Which natural remedy should I use for gut,0,0,1,0,0,0,0,0,0,0
128,What herbal should I use with cooling sensation,0,0,0,0,0,1,0,0,0,0
129,I have gut,0,0,1,0,0,0,0,0,0,0
130,I have high cholesterol,0,0,0,0,0,0,1,0,0,0
131,I have heart problems,1,0,0,0,0,0,0,0,0,0
132,Which natural remedy should I use for flavonoids,1,0,0,0,0,0,0,1,1,1
133,Herbal for antimicrobial,0,1,0,0,0,1,0,0,1,1
134,What herbal should I use with skin burns,0,0,0,0,1,0,0,0,0,0
135,I have infected wound,0,1,0,0,0,0,0,0,0,0
136,Herbal for Alzheimerâ€™s disease,0,0,0,1,0,0,0,0,0,0
137,Which natural remedy should I use for calm,0,0,0,1,0,1,0,0,0,0
138,Is there a herbal for cancer,1,0,0,1,0,0,0,0,0,0
139,What herbal should I use with prevent weight gain,0,0,1,0,0,0,0,0,0,0
140,My need concerns with skin infection,0,0,0,0,1,0,0,0,0,0
141,I need a herbal for fiber,1,0,1,0,0,0,0,0,1,0
142,My need concerns with nasal congestion,0,1,0,0,0,1,0,0,0,1
143,I have skin burns,0,0,0,0,1,0,0,0,0,0
144,Herbal for tea,0,1,1,1,0,0,0,1,1,0
145,My need concerns with LBM,0,1,0,0,0,0,0,0,0,0
146,I have diabetes,1,0,0,0,1,0,1,1,1,0
147,Is there a remedy for cell repair,0,0,0,0,1,0,0,0,1,0
148,Herbal for rich in vitamins,0,0,0,0,0,0,1,1,0,0
149,What herbal should I use with lower cholesterol,0,0,1,0,0,0,0,0,0,0
150,I have weight management,0,0,0,0,0,0,1,0,0,0
151,What herbal should I use with skin irritation,0,0,0,0,0,0,0,0,0,1
152,Is there a herbal for sore throat,0,0,0,0,0,1,0,0,0,1
153,Is there a herbal for colds,0,1,0,0,0,0,0,0,0,0
154,Which natural remedy should I use for nasal congestion,0,1,0,0,0,1,0,0,0,1
155,Herbal for acute otitis media,0,1,0,0,0,0,0,0,0,0
156,I need a herbal for liver disease,0,0,0,1,0,0,0,0,0,0
157,What herbal should I use with cancer treatment,0,0,0,1,0,0,0,0,0,0
158,Is there a remedy for wound infection,0,1,0,0,0,0,0,0,0,0
159,Is there a remedy for anti-obesity,0,1,0,0,0,0,0,0,0,0
160,Is there a remedy for muscle pain,0,1,0,0,0,0,0,0,0,1
161,I need a herbal for rhinitis,0,1,0,0,0,1,0,0,0,0
162,I have LBM,0,1,0,0,0,0,0,0,0,0
163,My need concerns with vitamin A,0,0,0,0,0,0,0,1,0,0
164,What herbal should I use with scalds on skin,0,0,0,0,1,0,0,0,0,0
165,What herbal should I use with infected wound,0,1,0,0,0,0,0,0,0,0
166,I have hypertension,0,1,0,0,0,0,0,0,0,0
167,I need a herbal for sedative,0,0,1,1,0,0,0,0,0,0
168,Herbal for sedative,0,0,1,1,0,0,0,0,0,0
169,Is there a herbal for cough,0,1,0,0,0,1,0,0,1,1
170,Herbal for skin damage,0,0,0,0,0,0,0,0,1,0
171,My need concerns with diabetes,1,0,0,0,1,0,1,1,1,0
172,I have blood clotting,0,1,0,0,0,0,0,0,0,0
173,Is there a herbal for joint problems,0,1,0,0,0,0,0,0,0,0
174,Is there a remedy for stress,0,0,0,1,0,0,0,1,0,0
175,What herbal should I use with skin,0,0,0,0,1,0,0,0,1,1
176,What herbal should I use with cirrhosis,0,0,0,1,0,0,0,0,0,0
177,I need a herbal for urinary tract infection,0,1,0,0,0,0,0,0,0,0
178,Is there a remedy for rhinorrhea,0,0,0,0,0,1,0,0,0,0
179,I have loose stools,0,1,0,0,0,0,0,0,0,0
180,I have hepatoprotective,0,1,0,1,0,0,0,0,0,0
181,What herbal should I use with diarrhea,0,1,0,1,0,0,0,0,1,0
182,I have diarrhea,0,1,0,1,0,0,0,0,1,0
183,Herbal for rich in micronutrients,1,0,0,0,0,0,0,0,0,0
184,Is there a herbal for lower cholesterol,0,0,1,0,0,0,0,0,0,0
185,My need concerns with Alzheimerâ€™s disease,0,0,0,1,0,0,0,0,0,0
186,My need concerns with gut problems,1,0,0,0,0,0,0,0,0,0
187,I need a herbal for natural decongestant,0,0,0,0,0,1,0,0,0,0
188,What herbal should I use with loose bowel movement,0,1,0,0,0,0,0,0,0,0
189,My need concerns with medicine,0,0,0,1,0,0,0,0,0,1
190,I need a herbal for anti-diarrhea,0,1,0,0,0,0,0,0,0,0
191,Is there a herbal for anemia,0,0,1,0,0,0,0,0,0,0
192,Herbal for skin,0,0,0,0,1,0,0,0,1,1
193,I need a herbal for diarrhea,0,1,0,1,0,0,0,0,1,0
194,My need concerns with rhinitis,0,1,0,0,0,1,0,0,0,0
195,I need a herbal for ulcers,1,0,0,0,0,0,0,0,0,0
196,Which natural remedy should I use for anti-spasm,0,1,1,0,0,0,0,0,0,0
197,Is there a remedy for hypertension,0,1,0,0,0,0,0,0,0,0
198,Herbal for wound healing,0,1,0,0,0,0,0,0,1,0
199,My need concerns with blood sugar control,0,0,0,0,0,0,0,1,1,0
200,Is there a herbal for vitamin A,0,0,0,0,0,0,0,1,0,0
201,What herbal should I use with sedative,0,0,1,1,0,0,0,0,0,0
202,I have anti-melanogenic,1,1,0,0,0,0,0,0,0,0
203,Is there a remedy for insect bites,0,0,0,0,0,0,0,0,0,1
204,I need a herbal for arthritis,0,1,0,0,0,0,0,0,0,0
205,I need a herbal for skin,0,0,0,0,1,0,0,0,1,1
206,I need a herbal for dull hair,0,0,0,0,1,0,0,0,0,0
207,Is there a herbal for anti-spasm,0,1,1,0,0,0,0,0,0,0
208,Herbal for low calorie count,1,0,0,0,0,0,0,0,0,0
209,I have asthma,0,0,0,0,0,0,0,0,0,1
210,I have dull hair,0,0,0,0,1,0,0,0,0,0
211,Which natural remedy should I use for constipation,1,0,0,0,0,0,0,0,0,0
212,I need a herbal for iron,0,0,1,0,0,0,0,1,0,0
213,My need concerns with anti-obesity,0,1,0,0,0,0,0,0,0,0
214,Which natural remedy should I use for dry cough,0,1,0,0,0,0,0,0,0,0
215,Which natural remedy should I use for blood sugar,1,0,0,0,1,0,1,1,0,0
216,My need concerns with headaches,0,0,0,0,0,1,0,0,0,0
217,What herbal should I use with platelet aggregation,0,1,0,0,0,0,0,0,0,0
218,Which natural remedy should I use for arthritis,0,1,0,0,0,0,0,0,0,0
219,Is there a remedy for blood clotting,0,1,0,0,0,0,0,0,0,0
220,Is there a remedy for respiratory infection,0,1,0,0,0,0,0,0,1,1
221,Which natural remedy should I use for obesity,0,1,0,0,0,0,0,0,0,0
222,Is there a remedy for wound healing,0,1,0,0,0,0,0,0,1,0
223,My need concerns with vitamin C,0,0,0,0,0,0,0,1,0,0
224,Is there a remedy for fiber,1,0,1,0,0,0,0,0,1,0
225,I need a herbal for bone problems,0,1,0,0,0,0,0,0,0,0
226,Which natural remedy should I use for stomach discomfort,0,1,0,0,0,1,0,0,0,0
227,What herbal should I use with rich in potassium,1,0,0,0,0,0,0,0,0,0
228,Which natural remedy should I use for heart problems,1,0,0,0,0,0,0,0,0,0
229,My need concerns with skin irritation,0,0,0,0,0,0,0,0,0,1
230,What herbal should I use with arthritis,0,1,0,0,0,0,0,0,0,0
231,Is there a herbal for digestive discomfort,0,0,0,0,0,1,0,0,0,0
232,Is there a herbal for dysentery,0,0,0,1,0,0,0,0,1,0
233,Herbal for muscle pain,0,1,0,0,0,0,0,0,0,1
234,Which natural remedy should I use for anemia,0,0,1,0,0,0,0,0,0,0
235,Herbal for laryngitis,0,1,0,0,0,0,0,0,1,1
236,I need a herbal for anemic,0,0,1,0,0,0,0,0,0,0
237,Is there a herbal for cell damage,0,0,0,0,1,0,0,0,1,0
238,Is there a remedy for antioxidant,0,1,0,1,0,0,1,1,1,0
239,Herbal for liver pain,0,0,0,1,0,0,0,0,0,0
240,Is there a remedy for fever,0,1,0,0,0,0,0,0,0,1
241,Which natural remedy should I use for cough,0,1,0,0,0,1,0,0,1,1
242,My need concerns with loose bowel movement,0,1,0,0,0,0,0,0,0,0
243,Is there a herbal for acute rhinosinusitis,0,1,0,0,0,0,0,0,0,0
244,Is there a remedy for tumor,0,1,0,0,0,0,0,0,0,0
245,Is there a herbal for scalds on skin,0,0,0,0,1,0,0,0,0,0
246,My need concerns with antimicrobial,0,1,0,0,0,1,0,0,1,1
247,Is there a remedy for urinary tract,0,1,0,0,0,0,0,0,0,0
248,What herbal should I use with bone problems,0,1,0,0,0,0,0,0,0,0
249,Is there a herbal for antioxidant,0,1,0,1,0,0,1,1,1,0
250,My need concerns with dull hair,0,0,0,0,1,0,0,0,0,0
251,Herbal for scalds on skin,0,0,0,0,1,0,0,0,0,0
252,Is there a remedy for stroke,0,0,1,0,0,0,0,0,0,0
253,Is there a herbal for rheumatism,0,1,0,0,0,0,0,0,0,0
254,My need concerns with stroke,0,0,1,0,0,0,0,0,0,0
255,Is there a herbal for weight loss,0,0,0,0,0,0,1,0,0,0
256,I need a herbal for low calories,0,0,0,0,1,0,0,0,0,0
257,Is there a herbal for skin irritation,0,0,0,0,0,0,0,0,0,1
258,I need a herbal for skin infection,0,0,0,0,1,0,0,0,0,0
259,What herbal should I use with sore throat,0,0,0,0,0,1,0,0,0,1
260,Herbal for skin aging,0,0,0,0,0,0,0,0,1,0
261,What herbal should I use with boost energy level,0,0,0,0,0,0,0,1,0,0
262,Herbal for stomach pain,0,1,0,0,0,1,0,0,0,0
263,Herbal for cough,0,1,0,0,0,1,0,0,1,1
264,I need a herbal for kidney problem,0,1,0,0,0,0,0,0,0,0
265,I need a herbal for cancer treatment,0,0,0,1,0,0,0,0,0,0
266,I have rich in micronutrients,1,0,0,0,0,0,0,0,0,0
267,Which natural remedy should I use for muscle pain,0,1,0,0,0,0,0,0,0,1
268,What herbal should I use with nausea,0,0,0,0,0,1,0,0,0,0
269,My need concerns with skin,0,0,0,0,1,0,0,0,1,1
270,Is there a herbal for rhinitis,0,1,0,0,0,1,0,0,0,0
271,What herbal should I use with infection,0,1,0,0,1,0,1,0,1,0
272,I need a herbal for digestive discomfort,0,0,0,0,0,1,0,0,0,0
273,I need a herbal for oral bacteria,0,0,0,0,0,1,0,0,0,0
274,My need concerns with ulcers,1,0,0,0,0,0,0,0,0,0
275,My need concerns with tumor,0,1,0,0,0,0,0,0,0,0
276,My need concerns with urinary tract infection,0,1,0,0,0,0,0,0,0,0
277,What herbal should I use with natural decongestant,0,0,0,0,0,1,0,0,0,0
278,I need a herbal for wound healing,0,1,0,0,0,0,0,0,1,0
279,I have freshen breath,0,0,0,0,0,1,0,0,0,0
280,My need concerns with kidney problem,0,1,0,0,0,0,0,0,0,0
281,Which natural remedy should I use for malnutrition,0,0,0,0,0,0,0,1,0,0
282,I need a herbal for promote satiety/satisfaction,0,0,0,0,0,0,1,0,0,0
283,What herbal should I use with loose stools,0,1,0,0,0,0,0,0,0,0
284,I need a herbal for hepatitis,0,1,0,1,0,0,0,0,0,0
285,What herbal should I use with anti-spasm,0,1,1,0,0,0,0,0,0,0
286,What herbal should I use with tumor,0,1,0,0,0,0,0,0,0,0
287,I have kidney disease,0,1,0,0,0,0,0,0,0,0
288,I need a herbal for nasal congestion,0,1,0,0,0,1,0,0,0,1
289,Which natural remedy should I use for antimicrobial,0,1,0,0,0,1,0,0,1,1
290,My need concerns with weight loss,0,0,0,0,0,0,1,0,0,0
291,Which natural remedy should I use for diarrhea,0,1,0,1,0,0,0,0,1,0
292,My need concerns with pregnancy,0,0,0,0,1,0,0,0,0,0
293,What herbal should I use with flavonoids,1,0,0,0,0,0,0,1,1,1
294,Is there a remedy for freshen breath,0,0,0,0,0,1,0,0,0,0
295,I need a herbal for loose bowel movement,0,1,0,0,0,0,0,0,0,0
296,My need concerns with arthritis,0,1,0,0,0,0,0,0,0,0
297,What herbal should I use with medicine,0,0,0,1,0,0,0,0,0,1
298,What herbal should I use with fever,0,1,0,0,0,0,0,0,0,1
299,Which natural remedy should I use for platelet aggregation,0,1,0,0,0,0,0,0,0,0
300,Is there a herbal for Vitamin A,0,0,0,0,1,0,0,0,0,0
301,My need concerns with wound,0,1,0,0,0,0,0,0,1,0
302,Which natural remedy should I use for iron,0,0,1,0,0,0,0,1,0,0
303,Is there a remedy for arthritis,0,1,0,0,0,0,0,0,0,0
304,Herbal for antioxidant,0,1,0,1,0,0,1,1,1,0
305,My need concerns with kidney disease,0,1,0,0,0,0,0,0,0,0
306,Is there a herbal for medicine,0,0,0,1,0,0,0,0,0,1
307,My need concerns with high cholesterol,0,0,0,0,0,0,1,0,0,0
308,Is there a herbal for digestion,0,0,0,0,0,1,0,0,1,0
309,My need concerns with low calories,0,0,0,0,1,0,0,0,0,0
310,I have constipation,1,0,0,0,0,0,0,0,0,0
311,Is there a remedy for cancer treatment,0,0,0,1,0,0,0,0,0,0
312,Is there a remedy for skin aging,0,0,0,0,0,0,0,0,1,0
313,Herbal for arthritis,0,1,0,0,0,0,0,0,0,0
314,Which natural remedy should I use for natural decongestant,0,0,0,0,0,1,0,0,0,0
315,Is there a remedy for skin damage,0,0,0,0,0,0,0,0,1,0
316,I have acute rhinosinusitis,0,1,0,0,0,0,0,0,0,0
317,I need a herbal for hair,0,0,0,0,1,0,0,0,0,0
318,Is there a herbal for urinary tract,0,1,0,0,0,0,0,0,0,0
319,I have heart disease,0,0,1,1,0,0,0,0,0,0
320,Herbal for loose stools,0,1,0,0,0,0,0,0,0,0
321,I need a herbal for rich in fiber,0,0,1,0,0,0,1,0,0,0
322,I need a herbal for stomach discomfort,0,1,0,0,0,1,0,0,0,0
323,What herbal should I use with fiber,1,0,1,0,0,0,0,0,1,0
324,Is there a remedy for skin problems,1,1,0,0,0,0,0,0,0,0
325,Which natural remedy should I use for respiratory ailments,0,0,0,0,0,0,0,0,0,1
326,Is there a herbal for ligament problems,0,1,0,0,0,0,0,0,0,0
327,Is there a herbal for ulcers,1,0,0,0,0,0,0,0,0,0
328,Which natural remedy should I use for low calorie count,1,0,0,0,0,0,0,0,0,0
329,Which natural remedy should I use for weight loss,0,0,0,0,0,0,1,0,0,0
330,What herbal should I use with colds,0,1,0,0,0,0,0,0,0,0
331,What herbal should I use with malnutrition,0,0,0,0,0,0,0,1,0,0
332,I have cancer,1,0,0,1,0,0,0,0,0,0
333,Herbal for spasm,0,1,1,0,0,0,0,0,0,0
334,Is there a herbal for blood sugar,1,0,0,0,1,0,1,1,0,0
335,Is there a herbal for pharyngitis,0,1,0,0,0,0,0,0,1,1
336,Herbal for upper respiratory tract infection,0,1,0,0,0,0,0,0,1,1
337,What herbal should I use with dental issues,0,0,0,0,0,1,0,0,0,0
338,What herbal should I use with digestion,0,0,0,0,0,1,0,0,1,0
339,What herbal should I use with urinary tract infection,0,1,0,0,0,0,0,0,0,0
340,I need a herbal for stomach pain,0,1,0,0,0,1,0,0,0,0
341,I need a herbal for heart problems,1,0,0,0,0,0,0,0,0,0
342,I need a herbal for medicine,0,0,0,1,0,0,0,0,0,1
343,Is there a herbal for digestive enzymes,0,0,0,0,0,1,0,0,0,0
344,I have skin irritation,0,0,0,0,0,0,0,0,0,1
345,Is there a remedy for immune system,1,0,0,1,1,0,1,0,1,0
346,Is there a herbal for bad breath,0,0,0,0,0,1,0,0,0,0
347,Which natural remedy should I use for hyperglycemia,0,0,0,0,1,0,0,0,0,0
348,What herbal should I use with ulcer,0,1,0,0,0,0,0,0,0,0
349,Is there a herbal for obesity,0,1,0,0,0,0,0,0,0,0
350,Is there a remedy for cell damage,0,0,0,0,1,0,0,0,1,0
351,Herbal for abdominal pain,0,0,0,1,0,0,0,0,0,0
352,Which natural remedy should I use for antitumor,0,1,0,0,0,0,0,0,0,0
353,Is there a remedy for calcium,0,0,0,0,0,0,0,1,0,0
354,What herbal should I use with blood sugar,1,0,0,0,1,0,1,1,0,0
355,I need a herbal for rich in minerals,0,0,0,0,0,0,1,0,0,0
356,Herbal for LBM,0,1,0,0,0,0,0,0,0,0
357,Which natural remedy should I use for heart disease,0,0,1,1,0,0,0,0,0,0
358,Herbal for rich in minerals,0,0,0,0,0,0,1,0,0,0
359,I have UTI,0,1,0,0,0,0,0,0,0,0
360,I have blood sugar,1,0,0,0,1,0,1,1,0,0
361,I need a herbal for skin irritation,0,0,0,0,0,0,0,0,0,1
362,What herbal should I use with support fetal growth,0,0,0,0,1,0,0,0,0,0
363,Is there a herbal for skin infection,0,0,0,0,1,0,0,0,0,0
364,Which natural remedy should I use for wound infection,0,1,0,0,0,0,0,0,0,0
365,Is there a herbal for dental issues,0,0,0,0,0,1,0,0,0,0
366,I have abdominal pain,0,0,0,1,0,0,0,0,0,0
367,I have anemia,0,0,1,0,0,0,0,0,0,0
368,I need a herbal for radical damage,0,0,0,1,0,0,0,0,1,0
369,I have inflammation,1,1,0,1,0,0,0,1,0,1
370,Is there a herbal for gut,0,0,1,0,0,0,0,0,0,0
371,I need a herbal for tonsilitis,0,1,0,0,0,0,0,0,1,1
372,Which natural remedy should I use for sedative,0,0,1,1,0,0,0,0,0,0
373,Herbal for rich in iron,0,0,1,0,1,0,0,0,0,0
374,Is there a remedy for iron,0,0,1,0,0,0,0,1,0,0
375,My need concerns with abdominal pain,0,0,0,1,0,0,0,0,0,0
376,Is there a remedy for low calories,0,0,0,0,1,0,0,0,0,0
377,What herbal should I use with stomach pain,0,1,0,0,0,1,0,0,0,0
378,Is there a herbal for tonsilitis,0,1,0,0,0,0,0,0,1,1
379,What herbal should I use with anti-diabetic,1,0,0,0,1,0,1,0,0,0
380,Is there a remedy for diarrhea,0,1,0,1,0,0,0,0,1,0
381,Is there a remedy for anti-melanogenic,1,1,0,0,0,0,0,0,0,0
382,Is there a remedy for anxiety,0,0,0,1,0,0,0,0,0,0
383,I need a herbal for cuts,0,1,0,0,0,0,0,0,0,0
384,Is there a remedy for rich in iron,0,0,1,0,1,0,0,0,0,0
385,Herbal for migraine,0,0,0,0,0,1,0,0,0,0
386,Herbal for minerals,0,0,0,0,1,0,0,0,0,0
387,Which natural remedy should I use for rheumatism,0,1,0,0,0,0,0,0,0,0
388,What herbal should I use with spasm,0,1,1,0,0,0,0,0,0,0
389,What herbal should I use with Vitamin A,0,0,0,0,1,0,0,0,0,0
390,I have vitamin E,0,0,0,0,0,0,0,1,0,0
391,I need a herbal for acute otitis media,0,1,0,0,0,0,0,0,0,0
392,I need a herbal for high uric acid,0,1,0,0,0,0,0,0,0,0
393,What herbal should I use with healthy digestion,0,0,0,0,0,1,0,0,0,0
394,Which natural remedy should I use for acute rhinosinusitis,0,1,0,0,0,0,0,0,0,0
395,I have low calorie count,1,0,0,0,0,0,0,0,0,0
396,Is there a remedy for anemic,0,0,1,0,0,0,0,0,0,0
397,Is there a remedy for loose stools,0,1,0,0,0,0,0,0,0,0
398,Is there a herbal for bone problems,0,1,0,0,0,0,0,0,0,0
